Maker Wise Financial Year Data  For All State (),,,
S No,                      Maker                       ,Financial Year ,     TOTAL     
,,,
,,2022-2023,
383,GO GREEN EOT (ENERGY OF THINGS) PVT LTD,3,3
384,GOLD HOFER,13,13
385,GOODWILL HI PRECISION WORKS PVT LTD,15,15
386,"GOPAL AGRO AGENCY,HALADIAPADAR,BERHAMPUR,GANJAM",33,33
387,GOPAL AUTO MOTORS PVT LTD,"1,195","1,195"
388,GOPAL ENGG. WORKS,5,5
389,"GOPAL ENGINEERING, BALASORE",7,7
390,GOREEN E-MOBILITY PVT LTD,"4,830","4,830"
391,GOVIND MOTOR GARRAGE,16,16
392,GOYAL AGRO INDUSTRIES,3,3
393,G.R. AGRO INDUSTRIES,1,1
394,GRAM TARANG EMPLOYABILITY TRAINNING SERVICES P LTD,62,62
395,GRD MOTORS,"2,334","2,334"
396,GREAVES ELECTRIC MOBILITY PVT LTD,"1,032","1,032"
397,GREEN EVOLVE PVT LTD,89,89
398,GREEN IMPEX,230,230
399,GREEN KAIKETSU AUTOMATIVE IND,1,1
400,GREEN KAIKETSU AUTOMOTIVE INDIA PVT LTD,3,3
401,GREEN SHUTTLE TECHNOLOGY PVT LTD,35,35
402,GREEN STAR MOTORS,118,118
403,GREENTECH AUTO LLP,6,6
404,GREEN TECHNOLOGIES,53,53
405,GREEN VALLEY MOTORS,14,14
406,GREEN WAY ECO RIDE,1,1
407,GREENWHEELS AUTOMOBILE PVT LTD,936,936
408,GROMAX AGRI EQUIPMENT LTD,"3,108","3,108"
409,GROVE INDIA PVT LTD,35,35
410,GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO),17,17
411,GUJARAT NARMADA AUTO LTD,8,8
412,GURDEEP AGRO  INDUSTRIES,11,11
413,GURDEEP ENGINEERING WORKS,28,28
414,GURJEET COMBINE,16,16
415,GURM AGRICULTURE WORKS,19,19
416,GURMUKH AGRO INDUSTRIES,23,23
417,GURU JI WHEELS,109,109
418,GURUKIRPA INDUSTRIES,66,66
419,GURUKRAPA ENGINEERING WORKS,30,30
420,GURU NANAK AGRICULTURE IMPLEMENTS,4,4
421,GURU NANAK AGRI ENGG WORKS,335,335
422,GURU NANAK AGRI WORKS,37,37
423,GURU NANAK AGRO INDUSTRIES,28,28
424,GURU RAMDAS AGROTECH,11,11
425,HAARISH AUTOMOTIVES (OPC) PRIVATE LIMITED,19,19
426,HAMM AG,80,80
427,HANUMAN UDYOG,1,1
428,HARDEV AGRO TECH,9,9
429,HARJEET AGRO INDUSTRIES,128,128
430,HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),326,326
431,HARMEET AGRICULTURE WORKS,67,67
432,HARSH TRADING CO,27,27
433,H-D MOTOR COMPANY INDIA PVT LTD,22,22
434,HEMAVATHI AGRO INDUSTRIES,47,47
435,HERO ELECTRIC VEHICLE PVT LTD,"1,270","1,270"
436,HERO ELECTRIC VEHICLES PVT. LTD,"88,612","88,612"
437,HERO HONDA MOTORS  LTD,65,65
438,HERO MOTOCORP LTD,"51,43,050","51,43,050"
439,HIGHWAY ENGING WORKS,47,47
440,HILLMAN MOTORS LTD,2,2
441,HIMANI AGRO INDUSTRIES,23,23
442,HIM TEKNOFORGE LTD,540,540
443,HIND AGRO INDUSTRIES,43,43
444,HINDUSTAN AGRO INDUSTRIES,3,3
445,HINDUSTAN MOTOR CORPORATION,"1,222","1,222"
446,HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,65,65
447,"HINDUSTHAN TECHNOLOGIES PVT LTD, CUTTACK",68,68
448,HIRA AGRO INDUSTRIES,126,126
449,"HIRAKUD MOTORS, SAMBALPUR",1,1
450,HITECH ELECTRIC AUTO CO,2,2
451,HITECH ENGINEERING LTD,63,63
452,HI-TECH INDUSTRIES,253,253
453,HITECH  MECHANICAL WORKS,2,2
454,HITEK ELECTRIC AUTO CO,4,4
455,HITENDRA WELDING WORKS,44,44
456,H M G ENGINEERING WORKS,9,9
457,HMT LIMITED,3,3
458,H NONGRUM,1,1
459,HOLLAND TRACTORS PVT LTD,5,5
460,HONDA CARS INDIA LTD,"84,159","84,159"
461,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,"39,74,614","39,74,614"
462,HONGKONG YIXING (IMPORTER: ADMS MARKETING),25,25
463,HONGKONG YIXING (IMPORTER: VICTORY ELECTRIC),4,4
464,HOOGHLY MOTORS PVT LTD,"2,752","2,752"
465,HOP ELECTRIC MOBILITY PVT LTD,41,41
466,HOP MOTORS PVT LTD,372,372
467,HOSHIAR NIRVAIR TRACTORS PVT LTD,7,7
468,HOTAGE INDIA,"6,004","6,004"
469,HOUSTAN INNOVATION LLP,40,40
470,HOVEL CYLINDER PVT LTD,37,37
471,H R AGRO INDUSTRIES,36,36
472,HUNDAL INDUSTRIES,924,924
473,HYKON INDIA LTD,294,294
474,HYUNDAI MOTOR INDIA LTD,"5,27,376","5,27,376"
475,"HYUNDAI MOTORS LTD, SOUTH KOREA",35,35
476,INDERPREET AGRO INDUSTRIES,18,18
477,INDIA KAWASAKI MOTORS PVT LTD,"3,309","3,309"
478,INDIAN MOTORS,"1,376","1,376"
479,INDIA SAFE ENTERPRISE,27,27
480,INDIA YAMAHA MOTOR PVT LTD,"5,56,308","5,56,308"
481,INDICON AGRO INDUSTRIES LLP,3,3
482,INDITAL CONSTRUCTION MACHINERY,5,5
483,INDO FARM EQUIPMENT LIMITED,"3,957","3,957"
484,INDRA TRAILORS,1,1
485,INDUS ELECTROTHERM INDIA LTD,14,14
486,INTERNATIONAL CARS & MOTORS LIMITED,27,27
487,INTERNATIONAL TRACTORS LIMITED,"97,806","97,806"
488,INVVIGORS INDIA,16,16
489,IPRA AGRO LTD,1,1
490,IRA EDUTECH PVT LTD,79,79
491,ISHWAR FARMLINE EQUIPMENTS PRIVATE LIMITED,75,75
492,ISHWAR FARMLINE EQUIPMENTS PVT LTD,16,16
493,ISUKII GREENS PVT LTD,2,2
494,ISUZU MOTORS INDIA PVT LTD,"1,946","1,946"
495,IVOOMI INNOVATION PVT LTD,"1,111","1,111"
496,IZANAU ELECTRIC LLP,37,37
497,JADE KOREA SPINE LIFE,44,44
498,JADHAV AGRO INDUSTRIES PVT. LTD.,32,32
499,JAGADAMBA TRAILER,5,5
500,"JAGANATH AGRL IMPLEMENTS,BOUDH",1,1
501,JAGDISH ENGINEERING WORKSHOP,2,2
502,JAGMOHAN ALLIED AUTO IND.PVT.LTD.     ,2,2
503,JAGUAR LAND ROVER INDIA LIMITED,"2,073","2,073"
504,JAI AMBE FABRICATION & ENGINEERING WORK,7,7
505,JAI BHAVANI ENGINEERING  WORKS,302,302
506,JAI BHAVANI INDUSTRIES,4,4
507,JAIDKA POWER SYSTEMS PVT LTD,626,626
508,JAI DURGA TRAILERS,1,1
509,JAIN POWER CORP,91,91
510,JAISIK BUSINESS LINKS PVT LTD,238,238
511,JAI SRI RAM ELECTRIC VEHICLE MANUFACTURING PVT LTD,38,38
512,JAJODIA COMMODITIES PVT LTD,443,443
513,JAL ENTERPRISES,12,12
514,JANTA AGRICULTURE WORKS,23,23
515,JANTA SUPER TRAILOR,4,4
516,JAVA MOTORS LTD,1,1
517,JAYADRI STEEL INDUSTRIES,2,2
518,JAY AGRO INDUSTRIES,54,54
519,JAY BHART TRAILOR SERVICES,1,1
520,JAY BHAVANI TRAILOR,40,40
521,JAYDEV ENTERPRISE,8,8
522,JAY JANARDAN TRAILOR,10,10
523,JAY JANARDHAN A.T EQUIPMENTS,1,1
524,JAY SHREE BALAJI ENG WORKS,1,1
525,JBM AUTO LIMITED,376,376
526,J.C. BAMFORD EXCAVATORS LIMITED,4,4
527,JCB INDIA LIMITED,"28,694","28,694"
528,JCB INDIA LTD,"1,266","1,266"
