Maker Wise Financial Year Data  For All State (),,,
S No,                      Maker                       ,Financial Year ,     TOTAL     
1044,SAI AGRO INDUSTRIES,15,15
1045,SAI BABA FABRICATION,1,1
1046,SAI ENGINEERING AND WELDING WORKS,51,51
1047,SAIFIAN SOLAR PVT LTD,11,11
1048,"SAI KRUPA ENGG WORKS,BHMPUR",52,52
1049,SAINIK CYCLE MART,34,34
1050,SAI SAMEER POWER ELECTRIC VEHICLES PVT LTD,17,17
1051,SAI TRAILERS,8,8
1052,SAJEDA ENGINEERING BHAWANIPATNA,9,9
1053,SAKSHAM TECH AUTOMOBILES,155,155
1054,SAKSHAM TRADING COMPANY,25,25
1055,SAMALESWARI ENGG WORKS,4,4
1056,"SAMAL FABRICATOR,BARCHANA",14,14
1057,SAME DEUTZ - FAHR INDIA (P) LTD.,899,899
1058,SAMEER ENGINEERING,24,24
1059,SAMRAT ELECTRIC VEHICLE,747,747
1060,"SAMRAT MOTORS, BHUBANESWAR",1,1
1061,S AND J INDUSTRIES,93,93
1062,"S AND S ENGG WORKS,BGH",2,2
1063,SANSAR COMBINE,1,1
1064,SANTOSH ENGG WORKS,93,93
1065,SANY HEAVY INDUSTRY INDIA PVT LTD,410,410
1066,SANY INDIA,1,1
1067,SARALA ENTERPRISES CUTTACK,2,2
1068,"SARASWATI AGRO INDUSTRIES,CTC",29,29
1069,SARAVANA ENGINEERING WORKS,205,205
1070,SARSWATI AGRO CO.,2,2
1071,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,"3,163","3,163"
1072,SATKAR ENGINEERING WORKS,3,3
1073,SATKARTAR AGRO WORKS,27,27
1074,SATNAM ENGG WORKS,11,11
1075,SATRAC ENGINEERING PVT LTD,336,336
1076,SATYANARAYANA ENGG.WORKS,16,16
1077,"SATYASAI INDUSTRIES,DHENKANAL",2,2
1078,SAYA AGRO INDUSTRIES,8,8
1079,S.B. RESHELLERS PVT LTD,3,3
1080,SBTEK E MOTO PVT LTD,17,17
1081,S B TRADERS,64,64
1082,SCA HAEVY EQUIPMENT PVT. LTD,4,4
1083,SCANIA COMMERCIAL VEHICLES INDIA PVT LIMITED,85,85
1084,SCHEUERLE FAHRZEUG FABRIK(GMBH),14,14
1085,SCOOTERS INDIA LTD,2,2
1086,SDR AUTO PVT LTD,2,2
1087,SEALION AUTOMOBILE PVT LTD,33,33
1088,SEAMLESS AUTOTECH PVT LTD,22,22
1089,SEC-RJMT ENGINEERING PVT LTD,80,80
1090,SEEKA E MOTORS PVT LTD,8,8
1091,SEN AND PANDIT VOLTAGE CONTROL PVT LTD,62,62
1092,SENNEBOGEN EXCAVATOR 821E,2,2
1093,SETH INDUSTRIAL CORPORATION,"1,081","1,081"
1094,SF2 E VEHICLE PVT LTD,32,32
1095,SGLLINE MOTORS PVT LTD,36,36
1096,SHAH AGRO ENGG WORKS,1,1
1097,SHAILENDRA AUTOS PVT LTD,81,81
1098,SHAKTI AUTO GREEN,856,856
1099,SHAKTI ENGINEERING WORK,4,4
1100,"SHAKTI EN WORKS HALADIAPADAR,BERHAMPUR,GANJAM",2,2
1101,SHAKTIMAN AGRO INDUSTRIES,99,99
1102,SHAKTTI CONSTRUCTIONS EQUIPMENT PVT LTD,306,306
1103,SHALYA AUTO SALES PVT LTD,649,649
1104,SHAMMI ELECTRONICS,40,40
1105,SHARMA-SHARMA ENGN WORKS,6,6
1106,SHEHALPREET ENGG WORKS,15,15
1107,"SHEKHAR ENGINEERING,JAJPUR",2,2
1108,SHEMA E- VEHCILE & SOLAR PVT LTD,749,749
1109,SHERARAM TRAILERS,1,1
1110,SHIGAN EVOLTZ LTD,415,415
1111,SHINE METAL UDYOG PVT LTD (UNIT- II),151,151
1112,SHINME ELECTRICAL VEHICLE PVT LTD,150,150
1113,SHIVA ENTERPRISES,16,16
1114,SHIVA GAYATRI ENGG WORKS,447,447
1115,SHIV AGRO INDUSTRIES,201,201
1116,SHIV AGRO INDUSTRIES YJ,1,1
1117,SHIVAJI AGRO INDUSTRIES,22,22
1118,SHIVASHAKTHI ENG WORKS,220,220
1119,SHIVGANGA ECOGREEN LLP,3,3
1120,SHIVKRUPA TRAILOR,12,12
1121,SHIV OM INDIA,258,258
1122,SHIVRAJ TRAILOR,39,39
1123,SHIV SHAKTI ENTERPRISE,2,2
1124,SHIVSHAKTI STEEL INDUSTRIES LATUR,5,5
1125,SHOBHA ENG WORKS,20,20
1126,SHREE BALAJI ENGINEERING WORK SHOP,23,23
1127,SHREE DURGA FABRICATION COMPANY,1,1
1128,SHREE JAGDAMBA TROLLY,1,1
1129,SHREE MARUT E-AGROTECH PVT LTD,1,1
1130,SHREE MARUTI NANDAN BUSINESSS (P) LTD,287,287
1131,SHREE SAI AGRO ENGINEERING WORKS,61,61
1132,SHREYA ENGINEERS,11,11
1133,SHRI AVP ENGINEERING WORK,5,5
1134,SHRI BARSANA E-VEHICLES PVT LTD,"4,804","4,804"
1135,SHRI DATTA AGRO INDUSTRIES,10,10
1136,"SHRI DATTAKRUPA ENGINEERING WORKS, BARAMATI",1,1
1137,SHRI GAJALAXMI ENGG WORKS,3,3
1138,SHRI GANESH ENGINERRING WORKS,93,93
1139,SHRI KRISHNA INDUSTRIES,22,22
1140,SHRI LAXMI ENGINEERING WORKS,80,80
1141,SHRI MAHALAXMI AGRO IND,11,11
1142,SHRI NAMO ELECTRIC AUTOMOTIVE,649,649
1143,SHRI NANDI TRAILER WORKS,5,5
1144,SHRINIWAS AGRO INDUSTRIES,62,62
1145,SHRI RADHE ENGG,2,2
1146,SHRIRAJ ELECTRIC VEHICLES,"2,614","2,614"
1147,SHRI RAMA ENGINEERING,15,15
1148,SHRI RAM AGRO INDUSTRIES,20,20
1149,SHRI RAM AUTO TECH PVT LTD,2,2
1150,SHRI RAM TRAILOR,7,7
1151,SHRI SAI ENGG WORKS,137,137
1152,SHRI SAI SANTOSHI MATA AGRICULTURAL WORKS,8,8
1153,SHRI SHANKAR ENG WORKS,119,119
1154,SHRI SHIVAJI ENG WORKS,22,22
1155,SHRI SHIVSHIDHA AGRI IMPLIMENT,10,10
1156,SHRI SHRINIVASA ENG WORKS,159,159
1157,SHRI SHYAM ENGG WORKS,3,3
1158,SHRI SHYAM INDUSTRIES,1,1
1159,SHRI SWASTIK ENGG,76,76
1160,SHRI TIRUMALA ENGINEERING WORKS,47,47
1161,SHRI VADESHWAR TRAILORS,16,16
1162,SHRI VENKATARAMANA TRAILER WORK,7,7
1163,SHRI VENKATESHWARA ENGINEERING WORKS,43,43
1164,SHRI VENKATESHWAR AGRO INDUSTRIES,6,6
1165,SHRI VIJAY ENGINEERING WORKS,6,6
1166,SHRI VINAYAK INDUSTRIES,27,27
1167,SHRI VISHWAKARMA AUTOMOBILE,159,159
1168,SHUBHAM MANUFACTURER,13,13
1169,"SIDDHAKALA ENGINEERING AND WELDING WORKS
",7,7
1170,SIDDHI ENGINEERING WORKS,3,3
1171,SIDHI DURGA ENGINEERING,78,78
1172,SIMPLEENERGY PVT LTD,425,425
1173,SINGHAL ENTERPRISES,141,141
1174,SINGH AUTOMOBILES,472,472
1175,SINGH ENGINEERING WORKS,5,5
1176,SIRF INDIA VEHICLES PVT LTD,38,38
1177,SITYOG ENGINEERING PVT LTD,2,2
1178,SIWACH STEEL PVT LTD,22,22
1179,SIX SENSES AUTOMOTIVE PVT LTD,21,21
1180,SKODA AUTO AS,1,1
1181,SKODA AUTO INDIA PVT LTD,5,5
1182,SKODA AUTO VOLKSWAGEN INDIA PVT LTD,"87,652","87,652"
1183,SKS TRADE INDIA PVT LTD,"10,713","10,713"
1184,SKYRIDE AUTOMOTIVE,35,35
1185,SKYY RIDER ELECTRIC PRIVATE LIMITED,65,65
1186,SMAP VEHICLES (IMPORTER: ELEGO MOTORS),16,16
1187,SMART ELECTRO MOTORS,60,60
1188,SMARTOMATIC VEHICLES PRIVATE LIMITED,2,2
1189,SMITH MOTORS PVT LTD,4,4
1190,SML ISUZU LTD,"10,883","10,883"
1191,SN SOLAR ENERGY,284,284
1192,SOKUDO ELECTRIC INDIA PVT LTD,233,233
1193,SOLANKE ENGINEERING WORKS,8,8
1194,SONALIKA INTERNATIONAL TRACTORS LIMITED,49,49
1195,SONI E VEHICLE PVT LTD,65,65
1196,SPEED AUTO TECH,76,76
1197,SPEEDWAYS ELECTRIC,7,7
1198,SPEEGO VEHICLES CO PVT LTD,"4,665","4,665"
1199,"S P TRADING, KHURDA",57,57
1200,S R AGRICULTURE EQUIPMENTS CO (P) LTD,12,12
1201,SRD RENEWABLES,"2,041","2,041"
1202,"SRI AGENCY & FABRICATION,GOPINATH NAGAR,BERHAMPUR",3,3
1203,"SRI GANESH ENG WORKS, HALADIAPADAR, GANJAM",7,7
1204,SRI LAKSHMI ENGINEERING INDUSTRIES,2,2
1205,SRI SAI AGRICULTURAL EQUIPMENT,145,145
1206,SRI SAI DURGA ENGG WORKSAP021000001,1,1
1207,SRI SRI MARUTHI ENGINEERING WORKS AP235744011,1,1
1208,"SRI.TIRUMALA AGRO SALES, CHARBAHAL",1,1
1209,SRIVARU MOTORS PVT LTD,18,18
1210,SRI VENKATESWARA ENGINEERING WORKS,1,1
1211,S S AGRO INDUSTRIES,2,2
1212,S.S. AGRO TECH,10,10
1213,SSB INDISTRIES,"2,277","2,277"
1214,SSEV ENTERPRISES PRIVATE LIMITED,756,756
1215,S S GLOBAL,11,11
1216,STANDARD COMBINES PVT LTD,4,4
1217,STANDARD CORPORATION INDIA LTD,164,164
1218,STAR AGRO INDUSTRIES,1,1
1219,STAR BULL E MOTORS,"1,991","1,991"
1220,STAR IGLOBAL AUTOMOTIVE PVT LTD,613,613
1221,STAR INDUSTRIES,32,32
1222,STAR WELDING WORKS,11,11
1223,SUBHADRA ENGINEERING NUAPADA,72,72
1224,SUBHLAXMI AGRO,1,1
1225,SUBRAMANYESWARA INDUSTRIES,41,41
1226,SUDHA ENGINEERING WORKS,26,26
1227,SUDHRAJ ELECTRIC MOBILITY PVT. LTD.,242,242
1228,SUKHDEV AGRO INDUSTRIES,7,7
1229,SUKHRAJ & SUKHRAJ INDUSTRIES,4,4
1230,SUMEC CO LTD (IMPORTER: ROUTE & MARS EV LLP),1,1
1231,SUMFONL AUTO TRADERS PVT LTD,312,312
1232,SUNANDA GREENTECH PVT LTD,61,61
1233,SUNARIYA MOTORS PVT LTD,49,49
1234,SUN AUTO,2,2
1235,SUNIL AGRO ENGINEERING WORKS,48,48
1236,SUN INDUSTRIES,38,38
1237,SUNJET ENERGY PVT LTD,1,1
1238,SUNSET TRADE PVT LTD,362,362
1239,SUNSHINE TECHNOLOGIES,5,5
1240,SUNULTRA POWER SOLUTIONS PVT LTD,150,150
1241,SUPERECO AUTOMOTIVE CO,257,257
1242,SUPERECO AUTOMOTIVE CO LLP,1,1
1243,SUPER METRO INDUSTRIES,"1,108","1,108"
1244,SUPER POWER MOTORS,70,70
1245,SUPER STANDARD AGRO COMBINE,9,9
1246,SUPERTECH EV LIMITED,"2,109","2,109"
1247,SUPREME SALES AGENCY,10,10
1248,SUPREME SMART POWER PVT LTD,455,455
1249,SUPROVA ENTERPRISE,7,7
1250,SURAJ ENGINEERING WORKS,13,13
1251,SURINDERA AGRO INSDUSTRIES,160,160
1252,SURYA INDUSTRIES,3,3
1253,SURYA INTERNATIONAL,21,21
1254,SURYA STEEL WORKS,8,8
1255,SURYODAY MECHANICAL WORKS,1,1
1256,SUZUKI JAPAN,3,3
1257,SUZUKI MOTORCYCLE INDIA PVT LTD,"8,47,772","8,47,772"
1258,SVS ENTERPRISES,93,93
1259,"SWAPNA FABRICATION WORKS,MALKANGIRI",11,11
1260,SWARAJ AUTOMOTIVES LTD,37,37
1261,SWARNCHAKRA AUTOMOBILES PVT LTD,3,3
1262,SWASTIK ENGINEERING WORKS,10,10
1263,SWITCH MOBILITY AUTOMOTIVE LTD,186,186
1264,SYAN AGRO INDUSTRY,104,104
1265,SYNDICATE AUTO COMPONENTS,53,53
1266,TADANO LIMITED,6,6
1267,TAFE LIMITED,"1,08,112","1,08,112"
1268,TAO POWER PRIVATE LIMITED,11,11
1269,TARA MAA MACHINERY,49,49
1270,TARLE CONSTRUCTION EQUIPMENTS PVT LTD,15,15
1271,TATA ADVANCED SYSTEMS LTD,441,441
1272,TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD,"1,271","1,271"
1273,TATA INTERNATIONAL VEHICLE APPLICATIONS PVT LTD,59,59
1274,TATA MOTORS LTD,"3,69,823","3,69,823"
1275,TATA MOTORS PASSENGER VEHICLES LTD,"4,73,768","4,73,768"
1276,TATA PASSENGER ELECTRIC MOBILITY LTD,"56,399","56,399"
1277,TAURUS ELECTRIC VEHICLES,377,377
1278,TEJASGREEN AUTOMOTIVE PVT LTD,1,1
1279,TELCO LTD,2,2
1280,TELSA INC,1,1
1281,TEREX CORPORATION,1,1
1282,TEREX EQUIPMENT PVT LTD,3,3
1283,TEREX INDIA PRIVATE LIMITED,46,46
1284,TERRA MOTORS INDIA PVT LTD,"9,248","9,248"
1285,THE COMMERCIAL MOTORS LIMITED,47,47
1286,THE COMMERCIAL MOTORS PVT LTD,12,12
1287,THOKADE ENTERPRISES,1,1
1288,THUKRAL ELECTRIC BIKES PVT LTD,"7,915","7,915"
1289,TI CLEAN MOBILITY PVT LTD,"2,848","2,848"
1290,TII INDIA PVT LTD,66,66
1291,TIL LIMITED,2,2
1292,TIRTH AGRO TECHNOLOGY PVT LTD,270,270
1293,TIRTH AGRO TECH.PVT.LTD,1,1
1294,TIRTH HYGIENE TECHNOLOGY PVT LTD,3,3
1295,TIRUPATI AGRO INDUSTRIES,2,2
1296,TIRUPATI DISTRIBUTOR,1,1
1297,TOGOR ENGINEERING WORKS,4,4
1298,TOP TEAM MACHINES PVT LTD,"1,723","1,723"
1299,TORK MOTORS PVT LTD,"2,159","2,159"
1300,TOYOTA HIACE GL COMMUTER,2,2
1301,TOYOTA KIRLOSKAR MOTOR PVT LTD,"2,16,249","2,16,249"
1302,TOYOTA MATERIAL HANDLING INDIA PVT LTD,197,197
1303,TPS INFRASTRUCTURE LTD,20,20
1304,TPS INFRASTRUCTURE LTD.,4,4
1305,TRACLAXX TRACTORS PVT LTD,89,89
1306,TRACLAXX TRACTORS PVT.LTD,1,1
1307,TRANSPORT ENGINEERING SOLUTIONS INDIA PVT LTD,44,44
1308,TRATEC ENGINEERS PVT LTD,106,106
1309,TRATEC ENGINEERS PVT. LTD.,2,2
1310,TRATICO ENGINEERING INDIA PVT LTD,3,3
1311,TRIMURTI AGRO INDUSTRIES,18,18
1312,TRIMURTI INDUSTRIES,4,4
1313,TRIMURTI TRAILER,15,15
1314,TRINITY ELECTRIC VEHICLES PVT LTD,99,99
1315,TRISHIKA INDUSTRIES,"1,274","1,274"
1316,TRISHUL TRACTORS PVT. LTD.,22,22
1317,TRIUMPH MOTORCYCLES (INDIA) PVT LTD,760,760
1318,TRUPART AUTOMOTIVE INDIA PVT LTD,10,10
1319,TRUZ INDUSTRIES,5,5
1320,TSM ENGINEERING PVT LTD,332,332
1321,TSR TRADE COM,18,18
1322,TUFAN MOTORS PVT LTD,"1,053","1,053"
1323,T U K INDUSTRIES,"3,197","3,197"
1324,TULJABHAWANI AGRO INDUSTRIES,7,7
1325,TULSI TRAILER,11,11
1326,TUNWAL E MOTORS PVT LTD,41,41
1327,TVS MOTOR COMPANY LTD,"29,95,491","29,95,491"
1328,TWASHTRE AUTOMOTIVE PVT LTD,4,4
1329,TWINKLE TRADCOM PVT LTD,"1,431","1,431"
1330,TWO FRIENDS AUTO ELECTRIC PVT LTD,"3,869","3,869"
1331,TYST DRIVE INDIA PVT LTD,31,31
1332,ULTRAVIOLETTE AUTOMOTIVE PVT LTD,249,249
1333,UMA  AUTO INDUSTRIES PVT. LTD,156,156
1334,UMA MOTORS,241,241
1335,UNIPAVE ENGINEERING PRODUCTS,8,8
1336,UNIQUE AUTO ELECTRIC,298,298
1337,UNIQUE ENTERPRISES,"3,933","3,933"
1338,UNIQUE INTERNATIONAL,"13,964","13,964"
1339,UNITED KINGDOM GROVE,8,8
1340,UNITED TRANSMOVERS PVT LTD,288,288
1341,U.P. TELELINKS LIMITED,"2,662","2,662"
1342,URWASHI ENTERPRISES,398,398
1343,USHASONS AUTO COMPONENTS,7,7
1344,UTKAL INDUSTRIES,5,5
1345,UTTAM CONSTRUCTION EQUIPMENTS,153,153
1346,VAHAK FUTURE SOLUTIONS LLP,54,54
1347,VALDO TRACTORS PVT LTD,8,8
1348,VANDANA TRAILORS AND BODY MFG PVT LTD,7,7
1349,VANI ELECTRIC VEHICLES PVT LTD,"7,999","7,999"
1350,VASHAN AGRICULTURE WORKS,23,23
1351,VEANCO AUTOMOTIVES PVT LTD,11,11
1352,VE COMMERCIAL VEHICLES LTD,"74,999","74,999"
1353,VE COMMERCIAL VEHICLES LTD (VOLVO BUSES DIVISION),329,329
1354,VEECTERO E VEHICLES LLP,169,169
1355,VEERA VAHANA UDYOG PRIVATE LIMITED,26,26
1356,VEERBHADRA ENGINEERING WORKS,27,27
1357,VEHICLE FACTORY JABALPUR,20,20
1358,VENKATESHWARA ENGINEERING WORK,63,63
1359,VENKATESHWAR AGRO INDUSTRIES,8,8
1360,VENUS AUTO WHEELS PVT LTD,502,502
1361,VENUS EQUIPMENT,108,108
1362,VERT EQUIPMENT PVT LTD,24,24
1363,VICTORIA E VEHICLES PVT. LTD,25,25
1364,VICTORY ELECTRIC INTERNATIONAL,"3,113","3,113"
1365,VIDARBHA TRAILERS,57,57
1366,VIJAYA ELECTRIC AUTO PVT LTD,277,277
1367,VIJAY AGRICULTURAL INDUSTRIES,6,6
1368,VIJAYA INDUSTRIES,13,13
1369,VIJAYALAKSHIMI ENGG WORKS,2,2
1370,VIJAYALAKSHMI INDUSTRIES,4,4
1371,VIJAY ENGINEERING WORKS,11,11
1372,VIJAYLAXMI ENGINEERING,22,22
1373,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,"5,194","5,194"
1374,VIJAYSHREE AUTOCOM LIMITED,181,181
1375,VIJEX STEEL FABRICATION,14,14
1376,VIKAS AGRO INDUSTRIES,3,3
1377,VIKAS TRAILORS BODY BUILDING WORKS AP213154392,2,2
1378,VIKRANT ENGINEERING,66,66
1379,VIMAL UNIVERSAL TRADE PVT LTD,950,950
1380,VINA ENGINEERING WORKS,22,22
1381,VINCI INDUSTRIAL CORPORATION,47,47
1382,VINTAGE VEHICLES,320,320
1383,VISHALA E-VEHICLES INDUSTRIES PRIVATE LIMITED,99,99
1384,VISHAL AGRICULTURAL WORKS,35,35
1385,VISHAL ENTERPRISES,38,38
1386,VISHAVKARMA ENGINEERING WORKS,281,281
1387,VISHVAS TRACTORS LTD.,4,4
1388,VISHWAKARMA AGRICULTURE UDHYOG,120,120
1389,VISHWAKARMA GNG INDUSTRY,161,161
1390,VISHWARUP ENTERPRISE,10,10
1391,VISHWAS EQUIPMENT,1,1
1392,VISWAKARMA AGRO INDUSTRIES,4,4
1393,"VISWANATH INDUSTRIES,BBSR",46,46
1394,VMP CONCRETE EQUIPMENTS PVT LTD,2,2
1395,VMT INDUSTRIES PVT LTD,251,251
1396,VOLKSWAGEN INDIA PVT LTD,9,9
1397,VOLTAS LIMITED,51,51
1398,VOLVO AUTO INDIA PVT LTD,"2,155","2,155"
1399,VOLVO CE INDIA PRIVATE LIMITED,585,585
1400,"""VOLVO GROUP INDIA PVT LTD""","1,140","1,140"
1401,VOLVO GROUP TRUCKS CENTRAL EUROPE GMBH,1,1
1402,VOLVO TRUCKS CORPORATION,7,7
1403,VRINDA ENTERPRISES,"1,332","1,332"
1404,VSL INDUSTRIES,1,1
1405,VST MOTER INDIA COMPANY,2,2
1406,V.S.T. TILLERS TRACTORS LIMITED,"4,342","4,342"
1407,V.T. ENGINEERING,7,7
1408,V.V.A.AUTO INDUSTRIES PVT.LTD,19,19
1409,WAKEN MULTITECH PVT LTD,1,1
1410,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,"9,127","9,127"
1411,WARIVO MOTOR INDIA PVT LTD,8,8
1412,WASAN E-MOBILITY SOLUTIONS PVT LTD,68,68
1413,WASIM MEERA ENGG WORKS,12,12
1414,WELKIN HEALTHCARE PVT LTD,50,50
1415,WHITE CARBON MOTORS PVT LTD,31,31
1416,WILLYS INDIA LTD,1,1
1417,WIRTGEN INDIA PVT LTD,481,481
1418,WISENT INFRATECH LLP,28,28
1419,WOX COOLERS PVT LTD,1,1
1420,WUXI DONGMA (IMPORTER: DYNAM PRECISION),16,16
1421,WUXI JIYAYI (IMPORTER: IZANAU ELECTRIC LLP),240,240
1422,WUXI MAYA (IMPORTER: DYNAMO ELECTRIC P. LTD.),60,60
1423,WUXI NOOMA (IMPORTER: KKL HITECH EV),1,1
1424,WUXI NOOMA (IMPORTER: SMARTNK  ELECTRIC VEHICLE),11,11
1425,WUXI SAIGE ELECTRIC (IMPORTER: DELTA AUTOCORP LLP),218,218
1426,WUXI SAIGE ELECTRIC (IMPORTER: GLORIOUS DIGITAL),34,34
1427,WUXI SAIGE (IMPORTER: DM GREEN ENERGY),76,76
1428,WUXI SAIGE (IMPORTER: ELECTRO-TECH),17,17
1429,WUXI SAIGE (IMPORTER: E-VISHWA ELECTOBIKE),15,15
1430,WUXI SAIGE (IMPORTER: NGAGE IMPEX),4,4
1431,WUXI SAIGE (IMPORTER: WARIVO MOTOR),695,695
1432,WUXI SAIGE (IMPORTER: ZELIO AUTO PVT.LTD.),13,13
1433,WUXI SHENGBAO (IMPORTER:ELECTRIC ONE ENERGY),16,16
1434,WUXI TENGHUI (IMPORTER: BOHRE ELECTRIC),42,42
1435,WUXI TENGHUI (IMPORTER: CAL-ON INDUSTRIES),10,10
1436,WUXI TENGHUI (IMPORTER: FEZORA INDIA),45,45
1437,WUXI TENGHUI (IMPORTER: FLYCON MOTORS),145,145
1438,WUXI TENGHUI (IMPORTER: FRANKLIN EV INDIA),25,25
1439,WUXI TENGHUI (IMPORTER: HOP ELECTRIC MOBILITY),471,471
1440,WUXI TENGHUI (IMPORTER: JAIDKA POWER),9,9
1441,WUXI TENGHUI (IMPORTER: JOZHI SERVICES),7,7
1442,WUXI TENGHUI (IMPORTER: RADHA MOBILITIES LLP),6,6
1443,WUXI TENGHUI (IMPORTER: REMARK ELECTRIC),14,14
1444,WUXI TENGHUI (IMPORTER: SEEKA E MOTORS),301,301
1445,WUXI TENGHUI INTERNATIONAL (IMPORTER: FEZORA),26,26
1446,WUXI TENGHUI INTERNATIONAL (IMPORTER: FRANKLIN EV),18,18
1447,WUXI TOURWE (IMPORTER: GOREEN E-MOBILITY),367,367
1448,XCMG CONSTRUCTION MACHINERY CO. LTD.,1,1
1449,XPLORE AUTOMOTIVE PVT LTD,2,2
1450,"XUZHOU CONSTRUCTION MACHINERY GROUP CO. LTD, CHINA",198,198
1451,XXPLORE AUTOMOTIVE PVT. LIMITED,5,5
1452,XYZ1,250,250
1453,XYZ2,38,38
1454,YAARI AUTOMOBILES PVT LTD,32,32
1455,YAGYAPRIYAA CONSTRUCTION EQUIPMENT INDIA PVT LTD,8,8
1456,YANGGUANG LINGMU (IMPORTER: DAWNGATE BUSINESS),9,9
1457,YANGGUANG LINGMU (IMPORTER: DURGA FILTERS),5,5
1458,YANGGUANG LINGMU (IMPORTER: ECOINDIA),2,2
1459,YANGGUANG LINGMU (IMPORTER: FLYCON MOTORS),111,111
1460,YANGGUANG LINGMU (IMPORTER: REMARK ELECTRIC),28,28
1461,YANGGUANG LINGMU (IMPORTER: XWLS ELECTRIC),20,20
1462,YASH AGRO ENGINEERING WORKS,12,12
1463,YC ELECTRIC VEHICLE,"42,751","42,751"
1464,YOUYAKU ELECTRIC (IMPORTER: HOUSTAN INNOVATION),149,149
1465,YOUYAKU ELECTRIC (IMPORTER:IME VEHICLES PVT LTD),371,371
1466,YOUYAKU ELECTRIC (IMPORTER:KRISHIKA EV INDIA),18,18
1467,YOUYAKU ELECTRIC (IMPORTER:NEWTRON ELECTRIC),68,68
1468,YOUYAKU ELECTRIC (IMPORTER:ONZO EV),36,36
1469,YOUYAKU ELECTRIC (IMPORTER: SASDAL ENTERPRISES),147,147
1470,YOUYAKU ELECTRIC (IMPORTER: SHEMA E-VEHICLE),1,1
1471,YOUYAKU ELECTRIC (IMPORTER: SMOBILITY EV),1,1
1472,YOUYAKU ELECTRIC (IMPORTER: TVISI ELECTRIC),5,5
1473,ZAP (HK) (IMPORTER: IZANAU ELECTRIC),134,134
1474,ZAP (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),29,29
1475,ZENIAK INNOVATION INDIA LTD,"3,241","3,241"
1476,ZENTHIUM EV PVT LTD,960,960
1477,ZEOPLUS AXIS INDIA PVT. LTD.,"4,382","4,382"
1478,ZERO 21 RENEWABLE ENERGY SOLUTIONS PVT LTD,34,34
1479,ZESAR MOTORS PVT LTD,45,45
1480,ZHEJIANG CFMOTO (IMPORTER: ADISHWAR AUTO),62,62
1481,ZHEJIANG CHANGLING (IMPORTER: ADISHWAR AUTO),189,189
1482,ZHEJIANG LUYUAN (IMPORTER: DYNAM EV TECH),37,37
1483,ZHEJIANG MORNI (IMPORTER: ADISHWAR AUTO),19,19
1484,ZHEJIANG QIANJIANG (IMPORTER: ADISHWAR AUTO),116,116
1485,ZHEJIANG TIANYING  (IMPORTER: NEWTRON ELECTRIC),50,50
1486,ZHONGXING (IMPORTER:GREENO AUTOMOBILE),5,5
1487,ZOHAN TRADERS AND BIG METRO,137,137
1488,ZOOMLION INDIA PVT LTD,176,176
1489,ZUBEDA TROLLY REPAIRING WORKS,42,42
